0.25 0.79:  1.9843, [ -0.752,   1.836]
0.29 0.00:  0.1919, [ -0.130,   0.141]
0.29 0.04:  0.1298, [ -0.124,  -0.039]
0.29 0.08:  0.5017, [ -0.486,   0.124]
0.29 0.12:  0.4595, [ -0.365,   0.279]
0.29 0.17:  0.3960, [ -0.331,   0.217]
0.29 0.21:  0.4632, [ -0.449,   0.114]
0.29 0.25:  0.3434, [ -0.312,   0.144]
0.29 0.29:  0.6290, [ -0.534,   0.333]
0.29 0.33:  0.4515, [ -0.417,   0.172]
0.29 0.37:  0.5374, [ -0.468,   0.263]
0.29 0.41:  0.5928, [ -0.513,   0.297]
0.29 0.45:  0.3803, [ -0.380,   0.013]
0.29 0.50:  0.5525, [ -0.503,  -0.228]
0.29 0.54:  0.5176, [ -0.001,   0.518]
0.29 0.58:  1.1164, [ -0.109,   1.111]
0.29 0.62:  1.1366, [ -0.200,   1.119]
0.29 0.66:  1.1132, [ -0.343,   1.059]
0.29 0.70:  1.2800, [ -0.459,   1.195]
0.29 0.74:  1.7740, [ -0.142,   1.768]
0.29 0.79:  2.4278, [ -0.809,   2.289]
0.33 0.00:  0.0958, [ -0.096,   0.002]
0.33 0.04:  0.2088, [ -0.203,   0.050]
0.33 0.08:  0.2919, [ -0.286,   0.058]
0.33 0.12:  0.3181, [ -0.269,   0.170]
0.33 0.17:  0.4330, [ -0.167,   0.400]
0.33 0.21:  0.2181, [ -0.217,   0.024]
0.33 0.25:  0.4696, [ -0.463,   0.080]
0.33 0.29:  0.3388, [ -0.319,   0.115]
0.33 0.33:  1.2295, [ -1.076,   0.595]
0.33 0.37:  0.5136, [ -0.445,   0.256]
0.33 0.41:  0.5616, [ -0.432,   0.358]
0.33 0.45:  0.6336, [ -0.567,   0.282]
0.33 0.50:  0.5829, [ -0.561,   0.158]
0.33 0.54:  0.4620, [  0.340,  -0.313]
0.33 0.58:  1.3072, [ -0.442,   1.230]
0.33 0.62:  0.8801, [ -0.399,   0.784]
0.33 0.66:  0.7641, [ -0.317,   0.695]
0.33 0.70:  0.8484, [  0.067,   0.846]
0.33 0.74:  1.8423, [ -0.828,   1.646]
0.33 0.79:  1.4647, [ -0.314,   1.431]
0.37 0.00:  0.4467, [ -0.424,   0.142]
0.37 0.04:  0.1998, [ -0.153,   0.129]
0.37 0.08:  0.3118, [ -0.298,   0.091]
0.37 0.12:  0.4440, [ -0.437,   0.079]
0.37 0.17:  0.3818, [ -0.348,   0.158]
0.37 0.21:  0.4100, [ -0.368,   0.181]
0.37 0.25:  0.5477, [ -0.480,   0.263]
0.37 0.29:  0.5183, [ -0.477,   0.203]
0.37 0.33:  0.5789, [ -0.522,   0.251]
0.37 0.37:  0.7346, [ -0.622,   0.391]
0.37 0.41:  0.5471, [ -0.419,   0.352]
0.37 0.45:  0.5152, [ -0.468,   0.215]
0.37 0.50:  0.5020, [ -0.490,   0.111]
0.37 0.54:  0.3029, [  0.245,  -0.178]
0.37 0.58:  0.3887, [ -0.388,   0.024]
0.37 0.62:  0.3107, [ -0.306,   0.054]
0.37 0.66:  0.6727, [ -0.318,   0.593]
0.37 0.70:  1.3659, [ -0.611,   1.222]
0.37 0.74:  1.1829, [ -0.131,   1.176]
0.37 0.79:  1.7151, [ -0.650,   1.587]
0.41 0.00:  0.3592, [ -0.336,   0.128]
0.41 0.04:  0.3620, [ -0.332,   0.144]
0.41 0.08:  0.5222, [ -0.515,   0.088]
0.41 0.12:  0.3133, [ -0.297,   0.101]
0.41 0.17:  0.3437, [ -0.300,   0.168]
0.41 0.21:  0.3865, [ -0.327,   0.206]
0.41 0.25:  0.6004, [ -0.519,   0.302]
0.41 0.29:  0.4912, [ -0.450,   0.198]
0.41 0.33:  0.5812, [ -0.542,   0.211]
0.41 0.37:  0.7051, [ -0.625,   0.326]
0.41 0.41:  0.3884, [ -0.359,   0.148]
0.41 0.45:  0.3716, [ -0.347,   0.132]
0.41 0.50:  0.3732, [ -0.372,   0.035]
0.41 0.54:  0.2239, [ -0.223,  -0.017]
0.41 0.58:  0.5571, [ -0.185,   0.526]
0.41 0.62:  0.5014, [ -0.093,   0.493]
0.41 0.66:  0.9237, [ -0.498,   0.778]
0.41 0.70:  1.0569, [  0.185,   1.041]
0.41 0.74:  0.9633, [ -0.212,   0.940]
0.41 0.79:  1.8524, [ -0.846,   1.648]
0.45 0.00:  0.5395, [ -0.516,   0.157]
0.45 0.04:  0.4725, [ -0.438,   0.177]
0.45 0.08:  0.4452, [ -0.426,   0.129]
0.45 0.12:  0.2464, [ -0.227,   0.096]
0.45 0.17:  0.2362, [ -0.214,   0.101]
0.45 0.21:  0.2931, [ -0.253,   0.148]
0.45 0.25:  0.3395, [ -0.281,   0.190]
0.45 0.29:  0.4459, [ -0.397,   0.204]
0.45 0.33:  0.4137, [ -0.350,   0.220]
0.45 0.37:  0.4431, [ -0.383,   0.223]
0.45 0.41:  0.5428, [ -0.468,   0.275]
0.45 0.45:  0.5131, [ -0.382,   0.342]
0.45 0.50:  0.4398, [ -0.337,   0.283]
0.45 0.54:  0.3559, [ -0.322,   0.151]
0.45 0.58:  0.5714, [ -0.360,   0.444]
0.45 0.62:  0.5784, [ -0.202,   0.542]
0.45 0.66:  0.8994, [ -0.155,   0.886]
0.45 0.70:  1.1727, [ -0.425,   1.093]
0.45 0.74:  1.1587, [ -0.091,   1.155]
0.45 0.79:  1.1060, [  0.015,   1.106]
0.50 0.00:  0.4847, [ -0.461,   0.150]
0.50 0.04:  0.6231, [ -0.607,   0.139]
0.50 0.08:  0.2972, [ -0.266,   0.132]
0.50 0.12:  0.2320, [ -0.210,   0.099]
0.50 0.17:  0.2384, [ -0.206,   0.120]
0.50 0.21:  0.2346, [ -0.205,   0.115]
0.50 0.25:  0.2733, [ -0.233,   0.143]
0.50 0.29:  0.4348, [ -0.374,   0.221]
